book_id,author_id
b1190,au605
b3148,au609
b2066,au645
b2704,au603
b2770,au295
b3747,au548
b3039,au1413
b3016,au609
b885,au256
b2973,au440
b2722,au199
b3163,au43
b2940,au917
b1326,au1493
b3088,au856
b1424,au234
b3292,au1373
b452,au26
b247,au501
b3983,au414
b1895,au752
b1605,au1529
b1688,au636
b1700,au110
b3790,au1074
b842,au256
b1855,au501
b3703,au1023
b1118,au957
b106,au894
b2991,au1527
b789,au175
b525,au1413
b3299,au1145
b3134,au98
b1125,au1202
b2759,au37
b2742,au1359
b2899,au1074
b290,au128
b634,au474
b3452,au1535
b2542,au109
b1240,au1182
b124,au856
b919,au1220
b2910,au128
b1360,au487
b524,au786
b571,au215
b1027,au1006
b986,au239
b3155,au295
b2938,au1400
b950,au581
b1388,au278
b2951,au1235
b569,au315
b1744,au1413
b3914,au1539
b478,au256
b2614,au1416
b2941,au1341
b2259,au645
b1593,au1510
b2338,au870
b80,au628
b1397,au86
b1588,au923
b3978,au1023
b1139,au225
b1560,au1543
b3509,au1382
b3393,au276
b2166,au1266
b2166,au1339
b3916,au1020
b1599,au733
b3541,au1437
b3421,au1099
b3621,au86
b35,au93
b122,au225
b1918,au611
b2815,au84
b3881,au1318
b1141,au374
b202,au1105
b138,au942
b3842,au408
b1030,au1396
b1030,au1380
b2969,au752
b2769,au978
b3440,au1406
b2528,au1263
b2067,au1334
b752,au295
b1403,au261
b717,au295
b251,au897
b253,au929
b3931,au1034
b997,au306
b3438,au454
b3472,au609
b1120,au1438
b110,au502
b3325,au381
b3882,au1229
b1385,au256
b3923,au650
b3728,au903
b2144,au457
b3570,au1465
b156,au983
b3304,au846
b3705,au1556
b1706,au199
b1973,au746
b3624,au86
b1268,au984
b3870,au897
b2836,au701
b3331,au1110
b3428,au199
b3849,au1170
b1904,au225
b1927,au478
b3294,au489
b998,au1498
b3334,au1530
b3275,au1186
b205,au182
b3711,au1092
b84,au381
b27,au1378
b3268,au431
b3609,au1070
b3709,au242
b1620,au478
b1402,au1214
b1009,au1074
b2061,au1331
b1049,au1100
b848,au479
b1203,au784
b509,au316
b624,au1105
b186,au428
b2686,au474
b2943,au672
b3205,au466
b1106,au252
b3582,au947
b2707,au637
b2937,au1400
b3293,au1132
b1742,au560
b1968,au733
b3315,au132
b3076,au1298
b1053,au569
b3447,au1375
b2692,au612
b1349,au880
b319,au865
b2013,au606
b501,au1511
b3009,au401
b3190,au1067
b2010,au1382
b3579,au533
b1389,au278
b913,au772
b312,au773
b1361,au1490
b2952,au118
b1856,au709
b3003,au837
b2209,au482
b4010,au1270
b3919,au612
b418,au363
b104,au741
b2934,au1546
b777,au1065
b142,au482
b3437,au1365
b1692,au339
b3730,au470
b537,au1254
b3129,au1249
b3501,au222
b3789,au1095
b3146,au458
b601,au999
b3576,au37
b3771,au1268
b2703,au374
b686,au225
b3032,au1085
b2443,au1258
b3218,au975
b370,au80
b1290,au291
b328,au31
b1448,au1231
b3553,au148
b3865,au556
b2176,au301
b844,au1170
b250,au818
b2644,au1477
b2675,au721
b2960,au1172
b3047,au474
b3350,au86
b708,au1124
b708,au1492
b3629,au420
b2613,au331
b51,au431
b652,au839
b652,au284
b3642,au533
b2734,au665
b494,au1271
b455,au870
b837,au551
b215,au733
b1133,au868
b1811,au1537
b94,au738
b2730,au670
b914,au176
b3231,au1204
b3681,au943
b905,au772
b3443,au1052
b3256,au1044
b1884,au917
b3457,au207
b2505,au1338
b55,au502
b2364,au525
b1084,au1481
b1028,au603
b3372,au75
b3248,au1159
b2595,au1254
b677,au675
b32,au225
b493,au1170
b1819,au1012
b2082,au404
b3247,au1494
b3663,au103
b3142,au971
b2332,au353
b994,au1521
b1721,au720
b646,au1382
b1831,au1528
b2090,au1302
b1591,au1321
b515,au520
b2828,au26
b3685,au873
b1010,au431
b1451,au800
b1443,au343
b1565,au878
b1327,au788
b1494,au1165
b3568,au278
b1639,au529
b3418,au99
b3037,au1500
b3025,au1242
b1662,au645
b3866,au1337
b3192,au626
b2305,au352
b725,au562
b2847,au183
b1481,au807
b2591,au130
b3529,au1182
b2812,au1104
b1347,au1353
b2745,au635
b3362,au152
b554,au8
b3795,au800
b3816,au1382
b2811,au611
b3154,au1249
b2563,au1182
b37,au740
b3188,au1220
b3251,au696
b108,au161
b3466,au1385
b797,au959
b797,au1485
b1917,au224
b1821,au1244
b1839,au225
b2388,au1143
b1444,au293
b3034,au596
b1067,au917
b1411,au1330
b3445,au1235
b3147,au374
b694,au222
b901,au1429
b358,au470
b3168,au79
b3422,au417
b2180,au934
b1788,au628
b268,au800
b1065,au703
b1952,au167
b1473,au550
b3591,au466
b1876,au474
b1727,au324
b1727,au1464
b3718,au459
b3271,au1420
b3678,au1170
b2972,au199
b1989,au227
b1870,au645
b1531,au1514
b1387,au278
b371,au1244
b3027,au109
b2582,au483
b2417,au1258
b2809,au429
b3077,au1249
b2442,au1268
b2507,au1353
b941,au424
b4001,au713
b3504,au1479
b3504,au573
b1398,au760
b1328,au1513
b307,au1382
b3691,au1453
b71,au454
b141,au269
b2348,au1104
b69,au1341
b1783,au1300
b3835,au616
b1342,au493
b3950,au886
b2569,au1440
b62,au319
b3688,au738
b194,au1321
b1790,au238
b3544,au832
b3628,au961
b1124,au960
b223,au1105
b3403,au182
b337,au687
b3309,au24
b2817,au1064
b2817,au1119
b2817,au1503
b2817,au1107
b2817,au1475
b212,au958
b282,au1493
b3498,au1527
b585,au215
b2157,au684
b3612,au1378
b1943,au954
b47,au255
b1572,au482
b2205,au1127
b1698,au86
b1073,au311
b1774,au1507
b615,au525
b3561,au709
b1386,au1034
b1423,au1254
b1775,au11
b2429,au1473
b1661,au692
b3035,au1316
b3420,au1312
b2840,au1167
b544,au238
b3660,au407
b826,au772
b3113,au1174
b811,au633
b1828,au1382
b949,au1202
b3079,au1053
b2571,au1042
b3480,au870
b2775,au1199
b93,au633
b2935,au1382
b2691,au534
b3288,au734
b1508,au587
b2808,au1170
b1925,au374
b68,au432
b675,au843
b3105,au1249
b3041,au1471
b1858,au276
b545,au1550
b3380,au369
b3217,au1382
b674,au1382
b674,au298
b674,au502
b685,au936
b73,au597
b1736,au177
b3669,au1170
b812,au1382
b3171,au335
b2898,au484
b103,au1180
b3474,au88
b229,au11
b3574,au358
b653,au1549
b372,au1542
b1140,au42
b1798,au663
b3667,au847
b128,au161
b3892,au128
b1198,au56
b233,au173
b3620,au86
b805,au130
b1645,au1005
b338,au883
b2112,au33
b3439,au364
b2660,au724
b780,au473
b1175,au572
b2559,au941
b1292,au49
b2605,au132
b2029,au1495
b2743,au729
b1122,au623
b335,au832
b2777,au1411
b2865,au1382
b892,au386
b3049,au1220
b3242,au1487
b2548,au386
b3912,au219
b1396,au696
b294,au1150
b1323,au472
b1439,au1473
b1512,au882
b1211,au228
b3585,au1382
b2945,au1435
b2020,au1062
b2351,au1325
b988,au622
b988,au1293
b380,au736
b2883,au609
b1710,au811
b564,au1060
b87,au734
b1180,au1455
b3751,au1507
b555,au264
b614,au750
b1417,au1518
b3895,au870
b3407,au734
b890,au1149
b2273,au1247
b1619,au1272
b2419,au1042
b1551,au640
b3643,au785
b3179,au331
b4003,au198
b2681,au1264
b2162,au1246
b46,au1302
b2109,au1353
b3569,au269
b3700,au236
b3910,au339
b1499,au283
b3735,au199
b1066,au1399
b1648,au72
b3143,au1382
b399,au276
b3605,au609
b2499,au192
b3665,au550
b1476,au173
b806,au339
b3001,au213
b992,au391
b766,au1444
b1038,au441
b1615,au844
b2492,au512
b2395,au1247
b2776,au1382
b3547,au86
b974,au328
b3631,au678
b3069,au1335
b2637,au954
b2698,au382
b2512,au440
b3981,au1348
b3611,au1365
b3716,au307
b3442,au418
b3762,au144
b1144,au1413
b1480,au709
b3719,au440
b296,au1029
b3645,au582
b684,au1426
b2825,au1353
b680,au829
b53,au1291
b2794,au145
b1597,au1108
b1457,au1454
b785,au501
b3843,au1014
b3432,au1085
b491,au349
b2042,au964
b3089,au1157
b563,au478
b3502,au271
b3276,au1353
b1206,au1382
b3540,au1436
b3161,au1381
b3161,au32
b1072,au834
b3519,au944
b2536,au1345
b289,au534
b3677,au398
b72,au1115
b2404,au173
b1236,au289
b2588,au413
b263,au515
b3010,au1116
b2032,au709
b3225,au1258
b3323,au95
b1524,au1247
b757,au639
b2603,au1249
b2309,au499
b3158,au1417
b2967,au1441
b934,au1254
b2888,au1170
b2566,au658
b2225,au63
b1025,au1034
b256,au1086
b3534,au419
b1372,au801
b3575,au272
b3538,au715
b2725,au755
b3552,au471
b1955,au199
b3889,au908
b1029,au1286
b466,au439
b2706,au1448
b3300,au1168
b8,au1019
b2717,au1262
b1913,au1188
b135,au123
b2015,au317
b3710,au64
b758,au1438
b1589,au222
b3185,au1180
b3183,au1141
b2683,au734
b3525,au734
b2855,au1314
b643,au1104
b1369,au56
b718,au505
b3654,au181
b3246,au1353
