id,string
b0,http://dbpedia.org/resource/%27Salem%27s_Lot
b1,http://dbpedia.org/resource/%27Tis
b2,http://dbpedia.org/resource/%C2%BD_Prince
b3,http://dbpedia.org/resource/.hack
b4,http://dbpedia.org/resource/1%2C000_Places_to_See_Before_You_Die
b5,http://dbpedia.org/resource/1001_Movies_You_Must_See_Before_You_Die
b6,http://dbpedia.org/resource/100_Bullets
b7,http://dbpedia.org/resource/100_Cupboards
b8,http://dbpedia.org/resource/13_Little_Blue_Envelopes
b9,http://dbpedia.org/resource/1776_%28book%29
b10,http://dbpedia.org/resource/1Q84
b11,http://dbpedia.org/resource/1st_to_Die
b12,http://dbpedia.org/resource/2001%3A_A_Space_Odyssey_%28novel%29
b13,http://dbpedia.org/resource/2010%3A_Odyssey_Two
b14,http://dbpedia.org/resource/2061%3A_Odyssey_Three
b15,http://dbpedia.org/resource/23_Minutes_in_Hell
b16,http://dbpedia.org/resource/2_States%3A_The_Story_of_My_Marriage
b17,http://dbpedia.org/resource/2nd_Chance_%28novel%29
b18,http://dbpedia.org/resource/3001%3A_The_Final_Odyssey
b19,http://dbpedia.org/resource/300_%28comics%29
b20,http://dbpedia.org/resource/3rd_Degree_%28novel%29
b21,http://dbpedia.org/resource/4th_of_July_%28novel%29
b22,http://dbpedia.org/resource/90_Minutes_in_Heaven
b23,http://dbpedia.org/resource/99_Francs
b24,http://dbpedia.org/resource/A_Beautiful_Mind_%28book%29
b25,http://dbpedia.org/resource/A_Bend_in_the_Road
b26,http://dbpedia.org/resource/A_Book_of_Common_Prayer
b27,http://dbpedia.org/resource/A_Brief_History_of_Time
b28,http://dbpedia.org/resource/A_Briefer_History_of_Time_%28Schulman_book%29
b29,http://dbpedia.org/resource/A_Canticle_for_Leibowitz
b30,http://dbpedia.org/resource/A_Case_of_Exploding_Mangoes
b31,http://dbpedia.org/resource/A_Certain_Slant_of_Light_%28novel%29
b32,http://dbpedia.org/resource/A_Christmas_Carol
b33,http://dbpedia.org/resource/A_Civil_Action
b34,http://dbpedia.org/resource/A_Clash_of_Kings
b35,http://dbpedia.org/resource/A_Clockwork_Orange
b36,http://dbpedia.org/resource/A_Coney_Island_of_the_Mind
b37,http://dbpedia.org/resource/A_Confederacy_of_Dunces
b38,http://dbpedia.org/resource/A_Connecticut_Yankee_in_King_Arthur%27s_Court
b39,http://dbpedia.org/resource/A_Corner_of_the_Universe
b40,http://dbpedia.org/resource/A_Course_in_Miracles
b41,http://dbpedia.org/resource/A_Cry_in_the_Night_%28novel%29
b42,http://dbpedia.org/resource/A_Dance_with_Dragons
b43,http://dbpedia.org/resource/A_Darkling_Plain
b44,http://dbpedia.org/resource/A_Day_Late_and_a_Dollar_Short_%28novel%29
b45,http://dbpedia.org/resource/A_Day_No_Pigs_Would_Die
b46,http://dbpedia.org/resource/A_Demon_in_My_View
b47,http://dbpedia.org/resource/A_Dirty_Job
b48,http://dbpedia.org/resource/A_Discovery_of_Witches
b49,http://dbpedia.org/resource/A_Doctor%27s_Report_on_Dianetics
b50,http://dbpedia.org/resource/A_F%C3%B3rmula_de_Deus
b51,http://dbpedia.org/resource/A_Farewell_to_Arms
b52,http://dbpedia.org/resource/A_Feast_for_Crows
b53,http://dbpedia.org/resource/A_Fine_Balance
b54,http://dbpedia.org/resource/A_Fraction_of_the_Whole
b55,http://dbpedia.org/resource/A_Game_of_Thrones
b56,http://dbpedia.org/resource/A_Girl_Named_Disaster
b57,http://dbpedia.org/resource/A_Good_Man_Is_Hard_to_Find
b58,http://dbpedia.org/resource/A_Great_and_Terrible_Beauty
b59,http://dbpedia.org/resource/A_Grief_Observed
b60,http://dbpedia.org/resource/A_Handful_of_Dust
