id,string
rau0,'"Anonymous"'
rau1,'& Neil Gaiman'
rau2,'(in collaboration with Auguste Maquet)'
rau3,', scribes.'
rau4,'A P J Abdul Kalam with arun tiwari'
rau5,'Adam Smith'
rau6,'Alex Sánchez'
rau7,'Alexander and Ann Shulgin'
rau8,'Allen Carr'
rau9,'Ann M. Martin, Laura Godwin'
rau10,'Anne Tyler'
rau11,'Avery Monsen and Jory John'
rau12,'Brigham Henry Roberts'
rau13,'Brom'
rau14,'Cacilda Jethá'
rau15,'Carol Goodman'
rau16,'Carrie Ryan'
rau17,'Chetan Bhagat'
rau18,'Chris Norris'
rau19,'Chris Wooding'
rau20,'Christopher Ryan,'
rau21,'Conn Iggulden and Hal Iggulden'
rau22,'Cracked.com'
rau23,'Created by Cecily von Ziegesar'
rau24,'Dalai Lama'
rau25,'Dan Senor and  Saul Singer'
rau26,'Daniel Handler'
rau27,'Danny Wallace'
rau28,'Darren Shan'
rau29,'David Eddings and Leigh Eddings'
rau30,'David Keirsey and'
rau31,'David Kirkpatrick'
rau32,'Derek Benz and J.S. Lewis'
rau33,'Dossie Easton, Catherine A. Liszt'
rau34,'Doug Richmond'
rau35,'Edward de Bono'
rau36,'Emma McLaughlin and Nicola Kraus'
rau37,'Ernest Holmes'
rau38,'Francine Pascal'
rau39,'Francine Rivers'
rau40,'Frank B. Gilbreth, Jr., and Ernestine Gilbreth Carey'
rau41,'Garret Freyman-Weyr'
rau42,'General Mills staff'
rau43,'Greg Mortenson and David Oliver Relin'
rau44,'Gregory Galloway'
rau45,'H. P. Lovecraft & Divers Hands'
rau46,'H. P. Lovecraft and Others'
rau47,'Hobey Echlin'
rau48,'Ian Caldwell and Dustin Thomason'
rau49,'Isabel Allende'
rau50,'Jacqueline Mitchard'
rau51,'Jake Wizner'
rau52,'James Lincoln Collier and Christopher Collier'
rau53,'James Patterson and Maxine Paetro'
rau54,'Jane Austen and'
rau55,'Jasper Fforde'
rau56,'Jeff Grubb and Ed Greenwood'
rau57,'Jenna Jameson with Neil Strauss'
rau58,'Jinsei Kataoka'
rau59,'Jodi Picoult'
rau60,'John Brunner'
rau61,'John C. Kirkland'
rau62,'John Heilemann and Mark Halperin'
rau63,'John Wyndham'
rau64,'Jonathan Haidt'
rau65,'Jonathan Kozol'
rau66,'Judy Blume'
rau67,'Jules Verne'
rau68,'Julia Child with Alex Prud'homme'
rau69,'Kami Garcia and Margaret Stohl'
rau70,'Kanae Shimokawa'
rau71,'Kanako Shirai'
rau72,'Kaori Ozaki'
rau73,'Kaoru Shizuka'
rau74,'Karl Marx and Friedrich Engels'
rau75,'Karrine Steffans'
rau76,'Kate Morton'
rau77,'Kate Novak and Jeff Grubb'
rau78,'Kevin J. Anderson'
rau79,'Kouta Hirano'
rau80,'Laura Wiess'
rau81,'Laurie Faria Stolarz'
rau82,'Lawrence Ferlinghetti'
rau83,'Leopold von Sacher-Masoch'
rau84,'Lesley Livingston'
rau85,'Libba Bray'
rau86,'Linda Holmen, Mary Santella-Johnson, Bill Watterson'
rau87,'Lisa See'
rau88,'Lois Lowry'
rau89,'Louisa May Alcott'
rau90,'Lynne Reid Banks'
rau91,'M'
rau92,'Makoto Inoue'
rau93,'Malcolm X with Alex Haley'
rau94,'Margaret Weis and Tracy Hickman'
rau95,'Mark Laxer'
rau96,'Mark Twain'
rau97,'Mary Alice Chrnalogar'
rau98,'Masatoshi Kusakabe'
rau99,'Michael Baigent, Richard Leigh, and Henry Lincoln'
rau100,'Michael Pollan'
rau101,'Michael York'
rau102,'Mika'
rau103,'Mikhail Bulgakov'
rau104,'Mildred D. Taylor'
rau105,'Miley Cyrus with Hilary Liftin'
rau106,'Miyuki Kobayashi'
rau107,'Mohammed Hanif'
rau108,'Multiple'
rau109,'Neal Shusterman'
rau110,'Neil Gaiman'
rau111,'Neil Strauss'
rau112,'Nicholas Sparks'
rau113,'Nicholas Sparks and Micah Sparks'
rau114,'Nick Arnold; Phil Gates'
rau115,'Nikolay Yordanov and Valya Chervenyashka'
rau116,'O.T. Nelson'
rau117,'Og Mandino'
rau118,'Ozzy Osbourne with Chris Ayres'
rau119,'P. C. Cast and Kristin Cast'
rau120,'Paulo Coelho'
rau121,'Pittacus Lore, aka James Frey & Jobie Hughes'
rau122,'Rabbi Shneur Zalman of Liadi, the first Rebbe of Chabad'
rau123,'Rachel Hawkins'
rau124,'Ramchandra Guha   Hindi Translation= Sushant Jha'
rau125,'Randy Pausch with Jeffrey Zaslow'
rau126,'René Goscinny'
rau127,'Richard Lee Byers'
rau128,'Richard P. Feynman, Robert B. Leighton and Matthew Sands'
rau129,'Ridley Pearson'
rau130,'Robert Anton Wilson'
rau131,'Robert Fulghum'
rau132,'Robert Hagstrom'
rau133,'Robert Jordan and Brandon Sanderson'
rau134,'Robert Tressell a.k.a. Noonan, born Croker'
rau135,'Robin Jones Gunn'
rau136,'Ronald Reagan, edited by Douglas Brinkley'
